ID,Class
31,Sydney
32,Sydney
33,Sydney
34,Sydney
35,Perth
36,Sydney
37,Sydney
38,Sydney
39,Brisbane
310,Sydney
311,Sydney
312,Brisbane
313,Sydney
314,Brisbane
315,Sydney
316,Sydney
317,Melbourne
318,Melbourne
319,Sydney
320,Brisbane
321,Sydney
322,Sydney
323,Perth
324,Perth
325,Sydney
326,Sydney
327,Sydney
328,Sydney
329,Brisbane
330,Sydney
331,Sydney
332,Sydney
333,Perth
334,Perth
335,Brisbane
336,Sydney
337,Sydney
338,Sydney
339,Sydney
340,Sydney
341,Perth
342,Sydney
343,Melbourne
344,Sydney
345,Sydney
346,Sydney
347,Brisbane
348,Sydney
349,Sydney
350,Brisbane
351,Perth
352,Sydney
353,Sydney
354,Sydney
355,Sydney
356,Sydney
357,Sydney
358,Sydney
359,Perth
360,Sydney
361,Melbourne
362,Sydney
363,Melbourne
364,Sydney
365,Sydney
366,Perth
367,Perth
368,Sydney
369,Perth
370,Brisbane
371,Sydney
372,Perth
373,Melbourne
374,Sydney
375,Sydney
376,Sydney
377,Sydney
378,Sydney
379,Sydney
380,Brisbane
381,Brisbane
382,Sydney
383,Sydney
384,Sydney
385,Brisbane
386,Melbourne
387,Perth
388,Sydney
389,Brisbane
390,Sydney
391,Sydney
392,Sydney
393,Sydney
394,Perth
395,Perth
396,Sydney
397,Melbourne
398,Sydney
399,Sydney
3100,Melbourne
3101,Perth
3102,Brisbane
3103,Sydney
3104,Brisbane
3105,Melbourne
3106,Perth
3107,Sydney
3108,Melbourne
3109,Sydney
3110,Sydney
3111,Perth
3112,Sydney
3113,Brisbane
3114,Brisbane
3115,Brisbane
3116,Sydney
3117,Perth
3118,Perth
3119,Brisbane
3120,Melbourne
3121,Sydney
3122,Sydney
3123,Sydney
3124,Brisbane
3125,Sydney
3126,Melbourne
3127,Sydney
3128,Sydney
3129,Brisbane
3130,Sydney
3131,Sydney
3132,Perth
3133,Perth
3134,Brisbane
3135,Perth
3136,Sydney
3137,Melbourne
3138,Sydney
3139,Sydney
3140,Sydney
3141,Sydney
3142,Sydney
3143,Sydney
3144,Sydney
3145,Sydney
3146,Sydney
3147,Sydney
3148,Perth
3149,Sydney
3150,Sydney
3151,Perth
3152,Brisbane
3153,Brisbane
3154,Sydney
3155,Sydney
3156,Sydney
3157,Sydney
3158,Melbourne
3159,Melbourne
3160,Brisbane
3161,Sydney
3162,Sydney
3163,Melbourne
3164,Sydney
3165,Sydney
3166,Perth
3167,Melbourne
3168,Sydney
3169,Sydney
3170,Sydney
3171,Sydney
3172,Melbourne
3173,Perth
3174,Sydney
3175,Brisbane
3176,Sydney
3177,Sydney
3178,Sydney
3179,Melbourne
3180,Sydney
