ID,Class
31,Brisbane
32,Melbourne
33,Sydney
34,Sydney
35,Perth
36,Brisbane
37,Sydney
38,Melbourne
39,Sydney
310,Perth
311,Brisbane
312,Brisbane
313,Sydney
314,Perth
315,Sydney
316,Melbourne
317,Perth
318,Perth
319,Perth
320,Brisbane
321,Sydney
322,Sydney
323,Melbourne
324,Melbourne
325,Melbourne
326,Brisbane
327,Perth
328,Sydney
329,Brisbane
330,Sydney
331,Perth
332,Brisbane
333,Sydney
334,Melbourne
335,Brisbane
336,Brisbane
337,Brisbane
338,Brisbane
339,Melbourne
340,Perth
341,Brisbane
342,Sydney
343,Melbourne
344,Brisbane
345,Brisbane
346,Brisbane
347,Brisbane
348,Perth
349,Perth
350,Brisbane
351,Perth
352,Sydney
353,Melbourne
354,Melbourne
355,Brisbane
356,Brisbane
357,Brisbane
358,Melbourne
359,Melbourne
360,Melbourne
361,Melbourne
362,Melbourne
363,Melbourne
364,Sydney
365,Brisbane
366,Perth
367,Sydney
368,Brisbane
369,Perth
370,Brisbane
371,Melbourne
372,Perth
373,Melbourne
374,Brisbane
375,Perth
376,Sydney
377,Perth
378,Brisbane
379,Brisbane
380,Brisbane
381,Melbourne
382,Brisbane
383,Sydney
384,Sydney
385,Brisbane
386,Brisbane
387,Perth
388,Sydney
389,Perth
390,Melbourne
391,Sydney
392,Melbourne
393,Sydney
394,Brisbane
395,Perth
396,Perth
397,Sydney
398,Melbourne
399,Sydney
3100,Perth
3101,Brisbane
3102,Brisbane
3103,Sydney
3104,Brisbane
3105,Melbourne
3106,Perth
3107,Perth
3108,Melbourne
3109,Brisbane
3110,Perth
3111,Perth
3112,Melbourne
3113,Brisbane
3114,Brisbane
3115,Perth
3116,Brisbane
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Sydney
3121,Melbourne
3122,Melbourne
3123,Brisbane
3124,Sydney
3125,Sydney
3126,Melbourne
3127,Brisbane
3128,Perth
3129,Brisbane
3130,Sydney
3131,Brisbane
3132,Brisbane
3133,Brisbane
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Melbourne
3138,Melbourne
3139,Perth
3140,Melbourne
3141,Melbourne
3142,Perth
3143,Sydney
3144,Melbourne
3145,Brisbane
3146,Sydney
3147,Brisbane
3148,Brisbane
3149,Brisbane
3150,Brisbane
3151,Melbourne
3152,Perth
3153,Melbourne
3154,Sydney
3155,Sydney
3156,Sydney
3157,Melbourne
3158,Melbourne
3159,Sydney
3160,Sydney
3161,Brisbane
3162,Sydney
3163,Brisbane
3164,Sydney
3165,Brisbane
3166,Melbourne
3167,Melbourne
3168,Perth
3169,Brisbane
3170,Brisbane
3171,Sydney
3172,Brisbane
3173,Brisbane
3174,Brisbane
3175,Perth
3176,Perth
