ID,Class
31,Melbourne
32,Melbourne
33,Sydney
34,Perth
35,Brisbane
36,Brisbane
37,Perth
38,Melbourne
39,Sydney
310,Melbourne
311,Brisbane
312,Brisbane
313,Sydney
314,Melbourne
315,Sydney
316,Melbourne
317,Brisbane
318,Perth
319,Perth
320,Brisbane
321,Perth
322,Brisbane
323,Melbourne
324,Melbourne
325,Melbourne
326,Brisbane
327,Brisbane
328,Sydney
329,Sydney
330,Sydney
331,Brisbane
332,Brisbane
333,Sydney
334,Brisbane
335,Brisbane
336,Brisbane
337,Brisbane
338,Brisbane
339,Sydney
340,Melbourne
341,Brisbane
342,Sydney
343,Melbourne
344,Brisbane
345,Brisbane
346,Brisbane
347,Brisbane
348,Perth
349,Perth
350,Brisbane
351,Perth
352,Melbourne
353,Melbourne
354,Melbourne
355,Brisbane
356,Brisbane
357,Brisbane
358,Perth
359,Brisbane
360,Melbourne
361,Melbourne
362,Perth
363,Sydney
364,Sydney
365,Brisbane
366,Perth
367,Sydney
368,Brisbane
369,Perth
370,Brisbane
371,Melbourne
372,Perth
373,Melbourne
374,Brisbane
375,Perth
376,Sydney
377,Brisbane
378,Sydney
379,Brisbane
380,Brisbane
381,Sydney
382,Brisbane
383,Brisbane
384,Sydney
385,Brisbane
386,Sydney
387,Perth
388,Sydney
389,Brisbane
390,Sydney
391,Sydney
392,Perth
393,Sydney
394,Brisbane
395,Perth
396,Perth
397,Brisbane
398,Melbourne
399,Sydney
3100,Perth
3101,Brisbane
3102,Brisbane
3103,Sydney
3104,Brisbane
3105,Melbourne
3106,Perth
3107,Perth
3108,Brisbane
3109,Brisbane
3110,Perth
3111,Perth
3112,Melbourne
3113,Brisbane
3114,Brisbane
3115,Brisbane
3116,Brisbane
3117,Sydney
3118,Perth
3119,Brisbane
3120,Brisbane
3121,Perth
3122,Brisbane
3123,Perth
3124,Sydney
3125,Sydney
3126,Melbourne
3127,Brisbane
3128,Perth
3129,Brisbane
3130,Sydney
3131,Brisbane
3132,Perth
3133,Brisbane
3134,Perth
3135,Brisbane
3136,Brisbane
3137,Perth
3138,Melbourne
3139,Brisbane
3140,Melbourne
3141,Sydney
3142,Perth
3143,Brisbane
3144,Melbourne
3145,Brisbane
3146,Brisbane
3147,Brisbane
3148,Brisbane
3149,Brisbane
3150,Brisbane
3151,Melbourne
3152,Perth
3153,Melbourne
3154,Sydney
3155,Brisbane
3156,Brisbane
3157,Melbourne
3158,Melbourne
3159,Sydney
3160,Perth
3161,Brisbane
3162,Sydney
3163,Brisbane
3164,Sydney
3165,Brisbane
3166,Melbourne
3167,Melbourne
3168,Brisbane
3169,Brisbane
3170,Brisbane
3171,Brisbane
3172,Brisbane
3173,Brisbane
3174,Perth
3175,Brisbane
3176,Perth
3177,Sydney
3178,Brisbane
3179,Perth
3180,Brisbane
3181,Brisbane
3182,Sydney
3183,Brisbane
3184,Perth
3185,Melbourne
3186,Brisbane
3187,Melbourne
3188,Perth
3189,Perth
3190,Brisbane
3191,Brisbane
3192,Melbourne
3193,Melbourne
3194,Perth
3195,Sydney
3196,Brisbane
3197,Brisbane
3198,Sydney
3199,Perth
3200,Perth
3201,Brisbane
3202,Perth
3203,Brisbane
3204,Melbourne
3205,Perth
3206,Perth
3207,Brisbane
3208,Perth
3209,Sydney
3210,Brisbane
3211,Brisbane
3212,Brisbane
3213,Perth
3214,Sydney
3215,Melbourne
3216,Brisbane
3217,Sydney
3218,Brisbane
3219,Brisbane
3220,Melbourne
3221,Sydney
3222,Sydney
3223,Melbourne
3224,Melbourne
3225,Brisbane
3226,Brisbane
3227,Melbourne
3228,Brisbane
3229,Perth
3230,Brisbane
3231,Perth
3232,Brisbane
3233,Brisbane
3234,Sydney
3235,Perth
3236,Brisbane
3237,Brisbane
3238,Sydney
3239,Brisbane
3240,Brisbane
3241,Brisbane
3242,Perth
3243,Brisbane
3244,Melbourne
3245,Perth
3246,Sydney
3247,Perth
3248,Perth
3249,Brisbane
3250,Perth
3251,Brisbane
3252,Brisbane
3253,Sydney
3254,Brisbane
3255,Melbourne
3256,Sydney
3257,Melbourne
3258,Brisbane
3259,Perth
3260,Brisbane
3261,Brisbane
3262,Melbourne
3263,Melbourne
3264,Melbourne
3265,Brisbane
3266,Sydney
3267,Sydney
3268,Melbourne
3269,Brisbane
3270,Sydney
3271,Sydney
3272,Melbourne
3273,Brisbane
3274,Melbourne
3275,Brisbane
3276,Sydney
3277,Sydney
3278,Melbourne
3279,Perth
3280,Melbourne
3281,Sydney
3282,Sydney
3283,Sydney
3284,Perth
3285,Melbourne
3286,Melbourne
3287,Brisbane
3288,Brisbane
3289,Brisbane
3290,Melbourne
3291,Melbourne
3292,Sydney
3293,Melbourne
3294,Brisbane
3295,Melbourne
3296,Brisbane
3297,Melbourne
3298,Sydney
3299,Melbourne
3300,Brisbane
3301,Melbourne
3302,Sydney
3303,Brisbane
3304,Perth
3305,Perth
3306,Brisbane
3307,Brisbane
3308,Brisbane
3309,Brisbane
3310,Melbourne
3311,Sydney
3312,Brisbane
3313,Brisbane
3314,Sydney
3315,Brisbane
3316,Brisbane
3317,Melbourne
3318,Perth
3319,Sydney
3320,Brisbane
3321,Melbourne
3322,Sydney
3323,Brisbane
3324,Perth
3325,Sydney
3326,Brisbane
3327,Perth
3328,Melbourne
3329,Brisbane
3330,Brisbane
3331,Perth
3332,Brisbane
3333,Sydney
3334,Brisbane
3335,Brisbane
3336,Perth
3337,Melbourne
3338,Brisbane
3339,Brisbane
3340,Melbourne
3341,Brisbane
3342,Melbourne
3343,Sydney
3344,Melbourne
3345,Brisbane
3346,Melbourne
3347,Brisbane
3348,Brisbane
3349,Perth
3350,Brisbane
3351,Melbourne
3352,Melbourne
3353,Perth
3354,Brisbane
3355,Brisbane
3356,Sydney
3357,Melbourne
3358,Brisbane
3359,Sydney
3360,Sydney
3361,Sydney
3362,Melbourne
3363,Melbourne
