ID,Class
31,Brisbane
32,Melbourne
33,Sydney
34,Sydney
35,Perth
36,Brisbane
37,Sydney
38,Melbourne
39,Sydney
310,Melbourne
311,Brisbane
312,Brisbane
313,Sydney
314,Perth
315,Sydney
316,Melbourne
317,Perth
318,Perth
319,Perth
320,Brisbane
321,Sydney
322,Perth
323,Melbourne
324,Melbourne
325,Melbourne
326,Brisbane
327,Perth
328,Sydney
329,Sydney
330,Sydney
331,Perth
332,Brisbane
333,Sydney
334,Perth
335,Perth
336,Brisbane
337,Brisbane
338,Brisbane
339,Sydney
340,Perth
341,Brisbane
342,Perth
343,Melbourne
344,Brisbane
345,Brisbane
346,Brisbane
347,Brisbane
348,Perth
349,Perth
350,Brisbane
351,Brisbane
352,Sydney
353,Melbourne
354,Melbourne
355,Sydney
356,Brisbane
357,Brisbane
358,Perth
359,Perth
360,Melbourne
361,Melbourne
362,Melbourne
363,Melbourne
364,Sydney
365,Brisbane
366,Perth
367,Sydney
368,Brisbane
369,Perth
370,Brisbane
371,Melbourne
372,Perth
373,Melbourne
374,Brisbane
375,Perth
376,Sydney
377,Perth
378,Sydney
379,Brisbane
380,Brisbane
381,Melbourne
382,Brisbane
383,Brisbane
384,Sydney
385,Brisbane
386,Brisbane
387,Perth
388,Sydney
389,Perth
390,Melbourne
391,Sydney
392,Melbourne
393,Sydney
394,Brisbane
395,Perth
396,Perth
397,Sydney
398,Melbourne
399,Sydney
3100,Perth
3101,Brisbane
3102,Brisbane
3103,Sydney
3104,Brisbane
3105,Melbourne
3106,Perth
3107,Perth
3108,Melbourne
3109,Brisbane
3110,Perth
3111,Perth
3112,Melbourne
3113,Brisbane
3114,Brisbane
3115,Perth
3116,Melbourne
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Brisbane
3121,Perth
3122,Melbourne
3123,Brisbane
3124,Sydney
3125,Sydney
3126,Melbourne
3127,Brisbane
3128,Perth
3129,Perth
3130,Sydney
3131,Perth
3132,Brisbane
3133,Brisbane
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Perth
3138,Melbourne
3139,Melbourne
3140,Melbourne
3141,Melbourne
3142,Perth
3143,Sydney
3144,Melbourne
3145,Brisbane
3146,Brisbane
3147,Brisbane
3148,Brisbane
3149,Melbourne
3150,Brisbane
3151,Melbourne
3152,Perth
3153,Melbourne
3154,Sydney
3155,Perth
3156,Sydney
3157,Melbourne
3158,Melbourne
3159,Sydney
3160,Perth
3161,Brisbane
3162,Sydney
3163,Perth
3164,Sydney
3165,Brisbane
3166,Melbourne
3167,Melbourne
3168,Perth
3169,Brisbane
3170,Brisbane
3171,Sydney
3172,Brisbane
3173,Brisbane
3174,Brisbane
3175,Melbourne
3176,Perth
3177,Sydney
3178,Sydney
