Instance_ID,Location,Text
1,Melbourne,"melbourn,victoria,australia"
2,Melbourne,"of,cours,cost,minimum,standard,must,anyth,50,squar,one,bedroom,apart,unlik"
3,Brisbane,"hope,peopl,make,much,nois,tpa,shot,definit,dog,act,storm,play"
4,Perth,"pour,perfect,prosecco,the,globe,perth,theglobeperth,prosecco,brunch,theglob,birthdayweekend"
5,Perth,"lose,traction,0,014,see,retrac,back,0,011,0,012,near,short,term,next,leg"
6,Melbourne,""
7,Melbourne,"me,bitch"
8,Melbourne,"i,i,could,never,offend,xx"
9,Sydney,"welcom,australia,hope,wonder,time,joel"
10,Brisbane,"mea,evolv,confer,session,i,learnt,wizard,oz,ounc,depress"
11,Melbourne,"first,tast,winter,autumn"
12,Brisbane,""
13,Sydney,"selfiesunday,lost,tabbi,amp,white,caramel,cat,miss,cherrybrook,findley,lostcat"
14,Brisbane,"give,credit,look,incred"
15,Sydney,"i,kind,opposit,becaus,love,uk,much,watch,uk,tv,fo"
16,Perth,"it,great,int"
17,Sydney,"i,date,mj,xoxoxo"
18,Perth,"dearest,kane,would,deadlin,2,card,hari,weak,bitch"
19,Sydney,"see,got,spoiler,esp,tag,anyth,spoiler,will,follow,im,avoid,social,media,bit,b"
20,Melbourne,""
21,Perth,"hope"
22,Brisbane,"x2,babe,biggest,scam,i,tell"
23,Melbourne,"hundr,hymn"
24,Perth,"siren,steve"
25,Sydney,"grassi,bitter,kiwi,hop,clean,drink,pale,ale"
26,Melbourne,"father,bob,thankyou,i,went,exclus,privat,school,perfect,marriag,mortgag,dog"
27,Brisbane,"birthday,dinner,thank,snapsbykatie,greengross"
28,Perth,"ford,us,fella,drawn,thank,sexi,danc,gypsi,commerci,she,couldnt,hold"
29,Perth,""
30,Melbourne,"koko,bunni,the,easter,bunni,arriv,door,morn,bear,amaz,easter,collect"
31,Melbourne,"gl"
32,Perth,""
33,Sydney,"this,must,success,feel,like,lone,free,champagn"
34,Brisbane,"hope,havent,reloc,lag,coz,must,catch-up,time"
35,Sydney,"thank,bord"
36,Sydney,"hello,knut,thank,much,interest,comment,consider,take,g"
37,Sydney,"i,go,crazi,still,detail,fanmeet,kyu"
38,Melbourne,"i,hope,but,mine"
39,Sydney,"up,0400,time,to,save,the,world,riseandshin,welcom,day,934,oper,savetheworld,general"
40,Melbourne,"and,mean,time,send,us,broke,us,real,world,cant,afford,turn,light,let,alon"
41,Perth,"i,thought,new,nickelodeon,show"
42,Sydney,"how,old,u,defend,releas,ns,mid,night,amp,role,gov,along,punjab,polic"
43,Sydney,"21"
44,Perth,"im,go,work,wear,long,sleev,first,time,month,i,see,highest,temperatur,go"
45,Sydney,"kirribilli,like,howard,move,famili,kirribilli,hous"
46,Perth,"skirt,ssmandirperth,ghanshyammahraj,templ,mandi,swaminarayan,dailyp,swaminarayanmandir"
47,Brisbane,"the,account,great,movi"
48,Brisbane,"i,see,overtaken,captain,marvel,box,offic,interest"
49,Brisbane,"yeah,wonder,fled,countri,stand,heat"
50,Perth,"gross,think,far,less,bias,lib,call,atroc,agai"
51,Perth,"great,talk,mark,import,benchmark,highlight,import"
52,Perth,"glad,someon,lp,sens"
53,Perth,"good-morn,wish"
